node_id    nx       ny      nz
-------------------------------------------
      1. -0.1586  0.9816  0.1065
   2622. -0.0523 -0.1887  0.9806
   5493.  0.1513 -0.7882 -0.5965
  11290. -0.2588  0.9659 -0.0000
  20317. -0.1777  0.6711  0.7198
  22128. -1.0000  0.0000  0.0000
  31392.  0.2588 -0.9659  0.0000
  39837.  0.2588  0.9659 -0.0000
  48025.  0.0000  0.0000 -1.0000
  50143.  0.0000  0.0000  1.0000
  62775.  1.0000  0.0000  0.0000
  72876.  0.0000  0.0000 -1.0000
  73878.  0.0000  0.0000 -1.0000
